Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-24T215912-437Z,4.68,0.490344,1.733329,2.284418,1.529103,15.491035,1.439763,1.8,1.229011,0.033507,1.688067,2176.478189,0,0.000111763,5.14E-08
2019-04-25T224202-117Z-sp,4.52,0.494385,1.755034,2.628613,1.661546,15.586981,1.177368,1.783878,1.201053,0.055831,1.789734,3219.403031,0,0.000177658,5.52E-08
2019-04-26T190052-015Z,10.13,0.497718,1.746717,1.702271,1.165345,14.492833,1.492841,1.8,1.326722,0.017258,1.828253,2620.866487,1,0.000136674,5.21E-08
2019-04-27T013244-487Z,2.62,0.498776,1.781941,2.807904,1.697912,15.617343,1.349007,1.8,1.407897,0.176336,2.016466,2608.488865,0,0.000130893,5.02E-08
2019-04-24T204603-770Z,6.16,0.501402,1.557313,1.679481,0.968274,15.301521,1.427299,1.8,1.200961,-0.073336,1.896287,2751.656168,1,0.000138675,5.04E-08
2019-04-26T230208-540Z,6.38,0.503392,1.55,8.4,1.719812,14.367191,1.249258,1.8,1.351865,0.108653,1.900242,2720.312628,1,0.000155806,5.73E-08
2019-04-24T224038-310Z,5.04,0.505534,1.752106,2.607385,1.614578,15.759444,1.279716,1.799994,1.292876,-0.066849,1.846976,3396.113875,0,0.000173023,5.09E-08
2019-04-25T172007-688Z,6.77,0.507136,1.550621,2.195983,0.919768,14.309035,1.700889,1.8,1.297687,0.230379,2.015012,2450.858843,1,0.000117357,4.79E-08
2019-04-24T210415-584Z,4.53,0.511857,1.744269,3.121418,1.400303,15.397388,1.165924,1.794822,1.364355,0.079031,1.989142,2799.63854,0,0.000145468,5.20E-08
2019-04-25T204450-438Z,6.04,0.512494,1.694357,3.940773,1.33223,13.579405,0.881119,1.766655,1.361277,0.102217,1.974767,2838.139086,0,0.000125919,4.44E-08
2019-04-24T215957-887Z,5.31,0.514375,1.824022,1.751233,1.255442,14.986436,1.047172,1.799695,1.219199,0.022891,1.608488,4162.71942,0,0.0002294,5.51E-08
2019-04-25T175833-420Z,6.42,0.520973,1.803334,2.640198,1.408329,14.104772,1.465349,1.8,1.074357,0.055075,1.598077,2277.82256,1,0.000127727,5.61E-08
2019-04-25T220704-676Z,6.9,0.523463,1.646806,2.229144,0.793965,14.31861,1.515483,1.8,1.450056,-0.099587,2.102637,2287.213444,1,0.000111428,4.87E-08
2019-04-26T011513-811Z,5.51,0.5369,1.921458,1.68819,1.345813,15.758723,1.273768,1.794406,1.453678,0.009896,1.880624,4510.497022,0,0.000230039,5.10E-08
2019-04-24T220041-617Z,4.22,0.541868,1.786603,2.150783,1.464215,15.309732,1.116932,1.793561,1.294496,-0.039842,1.736019,4189.095547,0,0.000175547,4.19E-08
2019-04-26T231824-342Z,10.26,0.544392,1.753401,3.597836,1.656778,13.658883,0.46724,1.648346,1.617006,0.195012,2.084385,3272.171509,0,0.000184259,5.63E-08
